Longitude	Latitude	Time_stamp	Elevation	HCP1	HCP2	PRP1	PRP2	TWI	NDVI	Elevation_R
-80.294602	43.641634	27263	337.81	11.56	11.06	6.18	7.74	5.47	0.64	0.26
-80.294594	43.641659	27264	337.69	11.59	11.12	6.14	7.76	5.57	0.64	0.14
-80.294568	43.641675	27265	337.69	11.8	11.26	6.24	7.97	5.58	0.64	0.14
-80.294535	43.641678	27266	337.74	12.11	11.65	6.38	8.25	5.52	0.63	0.19
-80.294505	43.641666	27267	337.83	12.46	12	6.51	8.47	5.4	0.63	0.28
-80.294487	43.641646	27268	337.96	12.4	11.77	6.57	8.38	5.22	0.63	0.41
-80.294412	43.641635	27404	338.27	12.55	11.91	6.77	8.56	4.95	0.65	0.72
-80.294453	43.641651	27405	338.02	12.51	11.89	6.66	8.5	5.17	0.64	0.47
-80.294492	43.641664	27406	337.89	12.49	12.01	6.55	8.5	5.35	0.63	0.34
-80.294518	43.641684	27407	337.77	12.26	11.86	6.45	8.38	5.51	0.63	0.22
-80.294521	43.641711	27408	337.68	12.1	11.61	6.47	8.37	5.62	0.63	0.13
-80.294501	43.641734	27409	337.65	12.18	11.66	6.62	8.59	5.66	0.63	0.1
-80.294465	43.641744	27410	337.66	12.4	12	6.78	8.88	5.63	0.63	0.11
-80.294426	43.641736	27411	337.75	12.53	12.19	6.84	8.95	5.53	0.64	0.2
-80.294395	43.641714	27412	337.85	12.58	12.2	6.86	8.82	5.36	0.64	0.3
-80.294374	43.641685	27413	338.1	12.63	12.18	6.88	8.72	5.14	0.65	0.55
-80.29435	43.641656	27414	338.36	12.75	12.38	7	8.89	4.89	0.66	0.81
-80.294265	43.641654	27538	338.71	13.26	13.06	7.46	9.61	4.66	0.67	1.16
-80.294303	43.641681	27539	338.37	13.06	12.74	7.27	9.33	4.93	0.66	0.82
-80.294333	43.641706	27540	338.08	12.84	12.4	7.11	9.05	5.17	0.66	0.53
-80.294367	43.641721	27541	337.89	12.69	12.27	6.98	8.93	5.33	0.65	0.34
-80.294403	43.641732	27542	337.82	12.59	12.23	6.89	8.95	5.47	0.64	0.27
-80.294425	43.641752	27543	337.71	12.59	12.23	6.91	9.08	5.6	0.64	0.16
-80.294427	43.641779	27544	337.61	12.72	12.28	7.05	9.24	5.71	0.64	0.06
-80.294408	43.6418	27545	337.61	12.98	12.41	7.27	9.45	5.81	0.64	0.06
-80.294375	43.641808	27546	337.61	13.32	12.67	7.47	9.68	5.88	0.63	0.06
-80.294341	43.641801	27547	337.65	13.42	12.83	7.51	9.8	5.87	0.63	0.1
-80.294318	43.641781	27548	337.77	13.3	12.8	7.44	9.7	5.64	0.64	0.22
-80.294301	43.641757	27549	337.86	13.2	12.73	7.4	9.59	5.47	0.64	0.31
-80.294281	43.641733	27550	338.03	13.32	12.89	7.45	9.65	5.28	0.65	0.48
-80.294255	43.641711	27551	338.28	13.59	13.29	7.59	9.88	5.09	0.66	0.73
-80.294221	43.641691	27552	338.53	13.91	13.7	7.79	10.17	4.9	0.66	0.98
-80.294188	43.64167	27553	338.77	14.03	13.8	7.94	10.32	4.71	0.66	1.22
-80.294155	43.641646	27554	339.05	13.99	13.58	8.03	10.35	4.49	0.65	1.5
-80.294091	43.641642	27672	339.28	14.02	13.44	8.29	10.56	4.43	0.63	1.73
-80.294129	43.641678	27673	338.89	14.26	14.01	8.23	10.65	4.73	0.64	1.34
-80.294166	43.641709	27674	338.56	14.14	14.11	8.02	10.45	5	0.64	1.01
-80.294204	43.641737	27675	338.26	13.81	13.8	7.8	10.17	5.24	0.65	0.71
-80.294243	43.641761	27676	337.98	13.45	13.24	7.63	9.92	5.44	0.64	0.43
-80.294287	43.641769	27677	337.87	13.31	12.89	7.5	9.75	5.54	0.64	0.32
-80.294326	43.641771	27678	337.76	13.19	12.67	7.36	9.56	5.59	0.64	0.21
-80.294357	43.641787	27679	337.68	13.19	12.68	7.35	9.59	5.71	0.64	0.13
-80.294368	43.641813	27680	337.59	13.4	12.72	7.53	9.76	5.94	0.63	0.04
-80.294355	43.641838	27681	337.59	13.51	12.87	7.72	9.98	6.49	0.63	0.04
-80.294323	43.641851	27682	337.6	13.62	13.02	7.83	10.09	6.72	0.63	0.05
-80.294288	43.641848	27683	337.66	13.63	13.01	7.85	10.09	6.69	0.62	0.11
-80.294263	43.641831	27684	337.72	13.57	12.98	7.82	10.03	6.41	0.62	0.17
-80.294256	43.641806	27685	337.77	13.44	13.01	7.72	9.94	6	0.63	0.22
-80.294272	43.641782	27686	337.82	13.36	13	7.58	9.84	5.61	0.64	0.27
-80.294306	43.641769	27687	337.8	13.25	12.78	7.43	9.65	5.55	0.64	0.25
-80.294344	43.641769	27688	337.73	13.09	12.57	7.28	9.46	5.59	0.64	0.18
-80.294382	43.641768	27689	337.7	12.89	12.43	7.14	9.3	5.62	0.64	0.15
-80.294416	43.641757	27690	337.69	12.65	12.29	6.95	9.15	5.61	0.64	0.14
-80.294447	43.641735	27691	337.72	12.45	12.11	6.78	8.89	5.56	0.63	0.17
-80.294477	43.641709	27692	337.77	12.34	12.02	6.62	8.64	5.53	0.63	0.22
-80.29451	43.641678	27693	337.79	12.36	11.95	6.49	8.44	5.46	0.63	0.24
-80.294548	43.641647	27694	337.84	11.95	11.48	6.34	8.07	5.39	0.63	0.29
-80.294425	43.641667	27810	338.03	12.56	11.97	6.71	8.56	5.19	0.64	0.48
-80.294385	43.6417	27811	337.96	12.59	12.19	6.86	8.74	5.25	0.65	0.41
-80.294348	43.641729	27812	337.88	12.81	12.33	7.09	9.07	5.35	0.65	0.33
-80.294307	43.641749	27813	337.88	13.14	12.65	7.35	9.5	5.43	0.65	0.33
-80.294264	43.641761	27814	337.94	13.38	13.06	7.56	9.83	5.46	0.64	0.39
-80.294223	43.641776	27815	337.98	13.42	13.3	7.69	9.93	5.54	0.64	0.43
-80.294182	43.641785	27816	338.03	13.5	13.45	7.78	10.02	5.6	0.63	0.48
-80.294139	43.641781	27817	338.18	13.83	13.91	7.89	10.27	5.57	0.62	0.63
-80.294096	43.641764	27818	338.39	14.25	14.5	8.05	10.63	5.45	0.61	0.84
-80.294057	43.641739	27819	338.61	14.73	15.03	8.3	11.06	5.28	0.62	1.06
-80.294021	43.641713	27820	338.91	15.18	15.4	8.55	11.43	5.1	0.63	1.36
-80.293985	43.641686	27821	339.1	15.36	15.55	8.68	11.58	4.91	0.64	1.55
-80.293947	43.64166	27822	339.44	15.21	15.34	8.63	11.44	4.78	0.65	1.89
-80.293902	43.641637	27823	339.73	14.75	14.68	8.39	11.01	4.75	0.65	2.18
-80.294025	43.641666	27979	339.19	14.64	14.26	8.6	11.14	4.68	0.64	1.64
-80.294082	43.641705	27980	338.78	14.44	14.25	8.36	10.88	4.97	0.62	1.23
